"fecha","linea","n"
2021-02-27,"FFCC ROCA",174456
2021-02-27,"FFCC SAR",46217
2021-02-28,"BSAS_LINEA_203",46014
2021-02-28,"BSAS_LINEA_501G",55531
2021-02-28,"FFCC ROCA",72465
2021-02-28,"FFCC SAR",9983
2021-03-01,"BSAS_LINEA_203",82484
2021-03-01,"BSAS_LINEA_501G",118869
2021-03-01,"FFCC ROCA",273688
2021-03-01,"FFCC SAR",127195
2021-03-02,"BSAS_LINEA_203",84496
2021-03-02,"BSAS_LINEA_501G",118503
2021-03-02,"FFCC ROCA",275527
2021-03-02,"FFCC SAR",110606
2021-03-03,"BSAS_LINEA_203",86480
2021-03-03,"BSAS_LINEA_501G",119846
2021-03-03,"FFCC ROCA",282263
2021-03-03,"FFCC SAR",143414
2021-03-04,"BSAS_LINEA_203",86301
2021-03-04,"BSAS_LINEA_501G",119477
2021-03-04,"FFCC ROCA",285469
2021-03-04,"FFCC SAR",134252
2021-03-05,"BSAS_LINEA_203",94104
2021-03-05,"BSAS_LINEA_501G",136690
2021-03-05,"FFCC ROCA",315581
2021-03-05,"FFCC SAR",142440
2021-03-06,"BSAS_LINEA_203",69740
2021-03-06,"BSAS_LINEA_501G",110520
2021-03-06,"FFCC ROCA",192822
2021-03-06,"FFCC SAR",54981
2021-03-07,"BSAS_LINEA_203",48398
2021-03-07,"BSAS_LINEA_501G",62072
2021-03-07,"FFCC ROCA",79153
2021-03-07,"FFCC SAR",20201
2021-03-08,"BSAS_LINEA_203",88767
2021-03-08,"BSAS_LINEA_501G",126983
2021-03-08,"FFCC ROCA",279089
2021-03-08,"FFCC SAR",148194
2021-03-09,"BSAS_LINEA_203",90256
2021-03-09,"BSAS_LINEA_501G",133327
2021-03-09,"FFCC ROCA",296897
2021-03-09,"FFCC SAR",151577
2021-03-10,"BSAS_LINEA_203",91004
2021-03-10,"BSAS_LINEA_501G",132823
2021-03-10,"FFCC ROCA",294815
2021-03-10,"FFCC SAR",151018
2021-03-11,"BSAS_LINEA_203",89713
2021-03-11,"BSAS_LINEA_501G",130702
2021-03-11,"FFCC ROCA",300579
2021-03-11,"FFCC SAR",139999
2021-03-12,"BSAS_LINEA_203",93550
2021-03-12,"BSAS_LINEA_501G",137487
2021-03-12,"FFCC ROCA",313622
2021-03-12,"FFCC SAR",145335
2021-03-13,"BSAS_LINEA_203",70074
2021-03-13,"BSAS_LINEA_501G",109250
2021-03-13,"FFCC ROCA",198893
2021-03-13,"FFCC SAR",55509
2021-03-14,"BSAS_LINEA_203",44336
2021-03-14,"BSAS_LINEA_501G",61579
2021-03-14,"FFCC ROCA",77727
2021-03-14,"FFCC SAR",11875
2021-03-15,"BSAS_LINEA_203",86429
2021-03-15,"BSAS_LINEA_501G",130685
2021-03-15,"FFCC ROCA",299507
2021-03-15,"FFCC SAR",151495
2021-03-16,"BSAS_LINEA_203",80797
2021-03-16,"BSAS_LINEA_501G",115570
2021-03-16,"FFCC ROCA",278926
2021-03-16,"FFCC SAR",141796
2021-03-17,"BSAS_LINEA_203",85215
2021-03-17,"BSAS_LINEA_501G",124043
2021-03-17,"FFCC ROCA",290184
2021-03-17,"FFCC SAR",148438
2021-03-18,"BSAS_LINEA_203",86026
2021-03-18,"BSAS_LINEA_501G",135037
2021-03-18,"FFCC ROCA",312255
2021-03-18,"FFCC SAR",145232
2021-03-19,"BSAS_LINEA_203",93930
2021-03-19,"BSAS_LINEA_501G",142155
2021-03-19,"FFCC ROCA",315887
2021-03-19,"FFCC SAR",143692
2021-03-20,"BSAS_LINEA_203",55272
2021-03-20,"BSAS_LINEA_501G",77958
2021-03-20,"FFCC ROCA",137465
2021-03-20,"FFCC SAR",32493
2021-03-21,"BSAS_LINEA_203",47740
2021-03-21,"BSAS_LINEA_501G",64931
2021-03-21,"FFCC ROCA",77805
2021-03-21,"FFCC SAR",11736
2021-03-22,"BSAS_LINEA_203",87574
2021-03-22,"BSAS_LINEA_501G",137104
2021-03-22,"FFCC ROCA",310602
2021-03-22,"FFCC SAR",158277
2021-03-23,"BSAS_LINEA_203",91488
2021-03-23,"BSAS_LINEA_501G",136527
2021-03-23,"FFCC ROCA",313768
2021-03-23,"FFCC SAR",162809
2021-03-24,"BSAS_LINEA_203",62111
2021-03-24,"BSAS_LINEA_501G",77882
2021-03-24,"FFCC ROCA",114154
2021-03-24,"FFCC SAR",39823
2021-03-25,"BSAS_LINEA_203",63784
2021-03-25,"BSAS_LINEA_501G",80546
2021-03-25,"FFCC ROCA",210570
2021-03-25,"FFCC SAR",104492
2021-03-26,"BSAS_LINEA_203",87043
2021-03-26,"BSAS_LINEA_501G",127354
2021-03-26,"FFCC ROCA",288603
2021-03-26,"FFCC SAR",138052
2021-03-27,"BSAS_LINEA_203",62130
2021-03-27,"BSAS_LINEA_501G",93574
2021-03-27,"FFCC ROCA",176764
2021-03-27,"FFCC SAR",50666
2021-03-28,"BSAS_LINEA_203",45168
2021-03-28,"BSAS_LINEA_501G",56118
2021-03-28,"FFCC ROCA",68160
2021-03-28,"FFCC SAR",14997
2021-03-29,"BSAS_LINEA_203",86830
2021-03-29,"BSAS_LINEA_501G",132526
2021-03-29,"FFCC ROCA",302793
2021-03-29,"FFCC SAR",140594
2021-03-30,"BSAS_LINEA_203",89870
2021-03-30,"BSAS_LINEA_501G",124510
2021-03-30,"FFCC ROCA",305061
2021-03-30,"FFCC SAR",159737
2021-03-31,"BSAS_LINEA_203",91272
2021-03-31,"BSAS_LINEA_501G",132193
2021-03-31,"FFCC ROCA",310439
2021-03-31,"FFCC SAR",165345
2021-04-01,"BSAS_LINEA_203",73415
2021-04-01,"BSAS_LINEA_501G",105812
2021-04-01,"FFCC ROCA",212633
2021-04-01,"FFCC SAR",104495
2021-04-02,"BSAS_LINEA_203",53548
2021-04-02,"BSAS_LINEA_501G",63869
2021-04-02,"FFCC ROCA",92711
2021-04-02,"FFCC SAR",24567
2021-04-03,"BSAS_LINEA_203",67214
2021-04-03,"BSAS_LINEA_501G",99603
2021-04-03,"FFCC ROCA",170248
2021-04-03,"FFCC SAR",45799
2021-04-04,"BSAS_LINEA_203",47264
2021-04-04,"BSAS_LINEA_501G",56675
2021-04-04,"FFCC ROCA",70211
2021-04-04,"FFCC SAR",13771
2021-04-05,"BSAS_LINEA_203",87438
2021-04-05,"BSAS_LINEA_501G",130212
2021-04-05,"FFCC ROCA",189404
2021-04-05,"FFCC SAR",151120
2021-04-06,"BSAS_LINEA_203",86253
2021-04-06,"BSAS_LINEA_501G",132393
2021-04-06,"FFCC ROCA",291449
2021-04-06,"FFCC SAR",149561
2021-04-07,"BSAS_LINEA_203",86996
2021-04-07,"BSAS_LINEA_501G",131206
2021-04-07,"FFCC ROCA",285125
2021-04-07,"FFCC SAR",144848
2021-04-08,"BSAS_LINEA_203",82529
2021-04-08,"BSAS_LINEA_501G",124320
2021-04-08,"FFCC ROCA",282655
2021-04-08,"FFCC SAR",136090
2021-04-09,"BSAS_LINEA_203",70953
2021-04-09,"BSAS_LINEA_501G",104107
2021-04-09,"FFCC ROCA",234070
2021-04-09,"FFCC SAR",112728
2021-04-10,"BSAS_LINEA_203",49625
2021-04-10,"BSAS_LINEA_501G",75066
2021-04-10,"FFCC ROCA",121271
2021-04-10,"FFCC SAR",42365
2021-04-11,"BSAS_LINEA_203",34195
2021-04-11,"BSAS_LINEA_501G",43549
2021-04-11,"FFCC ROCA",51734
2021-04-11,"FFCC SAR",15383
2021-04-12,"BSAS_LINEA_203",77675
2021-04-12,"BSAS_LINEA_501G",118579
2021-04-12,"FFCC ROCA",248351
2021-04-12,"FFCC SAR",124724
2021-04-13,"BSAS_LINEA_203",77289
2021-04-13,"BSAS_LINEA_501G",118360
2021-04-13,"FFCC ROCA",243995
2021-04-13,"FFCC SAR",124847
2021-04-14,"BSAS_LINEA_203",77407
2021-04-14,"BSAS_LINEA_501G",117814
2021-04-14,"FFCC ROCA",236208
2021-04-14,"FFCC SAR",124540
2021-04-15,"BSAS_LINEA_203",76553
2021-04-15,"BSAS_LINEA_501G",114027
2021-04-15,"FFCC ROCA",227022
2021-04-15,"FFCC SAR",115133
2021-04-16,"BSAS_LINEA_203",74941
2021-04-16,"BSAS_LINEA_501G",115091
2021-04-16,"FFCC ROCA",241985
2021-04-16,"FFCC SAR",117197
2021-04-17,"BSAS_LINEA_203",49284
2021-04-17,"BSAS_LINEA_501G",80756
2021-04-17,"FFCC ROCA",128394
2021-04-17,"FFCC SAR",45283
2021-04-18,"BSAS_LINEA_203",29394
2021-04-18,"BSAS_LINEA_501G",41616
2021-04-18,"FFCC ROCA",47022
2021-04-18,"FFCC SAR",9721
2021-04-19,"BSAS_LINEA_203",66977
2021-04-19,"BSAS_LINEA_501G",98334
2021-04-19,"FFCC ROCA",223313
2021-04-19,"FFCC SAR",115950
2021-04-20,"BSAS_LINEA_203",69153
2021-04-20,"BSAS_LINEA_501G",101798
2021-04-20,"FFCC ROCA",221965
2021-04-20,"FFCC SAR",119242
2021-04-21,"BSAS_LINEA_203",69789
2021-04-21,"BSAS_LINEA_501G",101528
2021-04-21,"FFCC ROCA",226815
2021-04-21,"FFCC SAR",120022
2021-04-22,"BSAS_LINEA_203",69449
2021-04-22,"BSAS_LINEA_501G",100395
2021-04-22,"FFCC ROCA",219562
2021-04-22,"FFCC SAR",110608
2021-04-23,"BSAS_LINEA_203",72121
2021-04-23,"BSAS_LINEA_501G",101232
2021-04-23,"FFCC ROCA",218450
2021-04-23,"FFCC SAR",113123
2021-04-24,"BSAS_LINEA_203",48521
2021-04-24,"BSAS_LINEA_501G",75471
2021-04-24,"FFCC ROCA",124984
2021-04-24,"FFCC SAR",37901
2021-04-25,"BSAS_LINEA_203",31581
2021-04-25,"BSAS_LINEA_501G",44880
2021-04-25,"FFCC ROCA",50773
2021-04-25,"FFCC SAR",10094
2021-04-26,"BSAS_LINEA_203",67041
2021-04-26,"BSAS_LINEA_501G",95800
2021-04-26,"FFCC ROCA",219270
2021-04-26,"FFCC SAR",117534
2021-04-27,"BSAS_LINEA_203",70849
2021-04-27,"BSAS_LINEA_501G",101842
2021-04-27,"FFCC ROCA",233472
2021-04-27,"FFCC SAR",121299
2021-04-28,"BSAS_LINEA_203",70616
2021-04-28,"BSAS_LINEA_501G",100066
2021-04-28,"FFCC ROCA",232288
2021-04-28,"FFCC SAR",123820
2021-04-29,"BSAS_LINEA_203",71836
2021-04-29,"BSAS_LINEA_501G",102143
2021-04-29,"FFCC ROCA",230980
2021-04-29,"FFCC SAR",117541
2021-04-30,"BSAS_LINEA_203",71144
2021-04-30,"BSAS_LINEA_501G",75323
2021-04-30,"FFCC ROCA",243201
2021-04-30,"FFCC SAR",122573
2021-05-01,"BSAS_LINEA_203",41006
2021-05-01,"BSAS_LINEA_501G",58302
2021-05-01,"FFCC ROCA",74479
2021-05-01,"FFCC SAR",22960
2021-05-02,"BSAS_LINEA_203",32031
2021-05-02,"BSAS_LINEA_501G",42945
2021-05-02,"FFCC ROCA",50141
2021-05-02,"FFCC SAR",11764
2021-05-03,"BSAS_LINEA_203",66948
2021-05-03,"BSAS_LINEA_501G",91039
2021-05-03,"FFCC ROCA",212921
2021-05-03,"FFCC SAR",108596
2021-05-04,"BSAS_LINEA_203",69370
2021-05-04,"BSAS_LINEA_501G",90469
2021-05-04,"FFCC ROCA",226230
2021-05-04,"FFCC SAR",102884
2021-05-05,"BSAS_LINEA_203",75373
2021-05-05,"BSAS_LINEA_501G",112902
2021-05-05,"FFCC ROCA",237768
2021-05-05,"FFCC SAR",117999
2021-05-06,"BSAS_LINEA_203",74186
2021-05-06,"BSAS_LINEA_501G",107786
2021-05-06,"FFCC ROCA",234746
2021-05-06,"FFCC SAR",111121
2021-05-07,"BSAS_LINEA_203",77725
2021-05-07,"BSAS_LINEA_501G",112474
2021-05-07,"FFCC ROCA",247793
2021-05-07,"FFCC SAR",102670
2021-05-08,"BSAS_LINEA_203",58033
2021-05-08,"BSAS_LINEA_501G",93224
2021-05-08,"FFCC ROCA",147566
2021-05-08,"FFCC SAR",51439
2021-05-09,"BSAS_LINEA_203",35679
2021-05-09,"BSAS_LINEA_501G",47243
2021-05-09,"FFCC ROCA",52790
2021-05-09,"FFCC SAR",14160
2021-05-10,"BSAS_LINEA_203",74266
2021-05-10,"BSAS_LINEA_501G",106115
2021-05-10,"FFCC ROCA",240688
2021-05-10,"FFCC SAR",110688
2021-05-11,"BSAS_LINEA_203",74900
2021-05-11,"BSAS_LINEA_501G",106698
2021-05-11,"FFCC ROCA",238518
2021-05-11,"FFCC SAR",99680
2021-05-12,"BSAS_LINEA_203",76302
2021-05-12,"BSAS_LINEA_501G",106542
2021-05-12,"FFCC ROCA",228872
2021-05-12,"FFCC SAR",123876
2021-05-13,"BSAS_LINEA_203",75502
2021-05-13,"BSAS_LINEA_501G",105148
2021-05-13,"FFCC ROCA",240951
2021-05-13,"FFCC SAR",120702
2021-05-14,"BSAS_LINEA_203",78497
2021-05-14,"BSAS_LINEA_501G",112289
2021-05-14,"FFCC ROCA",161386
2021-05-14,"FFCC SAR",124991
2021-05-15,"BSAS_LINEA_203",58799
2021-05-15,"BSAS_LINEA_501G",89835
2021-05-15,"FFCC ROCA",143965
2021-05-15,"FFCC SAR",44971
2021-05-16,"BSAS_LINEA_203",35287
2021-05-16,"BSAS_LINEA_501G",45835
2021-05-16,"FFCC ROCA",55004
2021-05-16,"FFCC SAR",8519
2021-05-17,"BSAS_LINEA_203",73735
2021-05-17,"BSAS_LINEA_501G",104315
2021-05-17,"FFCC ROCA",236501
2021-05-17,"FFCC SAR",114476
2021-05-18,"BSAS_LINEA_203",74288
2021-05-18,"BSAS_LINEA_501G",104414
2021-05-18,"FFCC ROCA",235374
2021-05-18,"FFCC SAR",123606
2021-05-19,"BSAS_LINEA_203",74961
2021-05-19,"BSAS_LINEA_501G",105051
2021-05-19,"FFCC ROCA",236986
2021-05-19,"FFCC SAR",126812
2021-05-20,"BSAS_LINEA_203",73809
2021-05-20,"BSAS_LINEA_501G",103187
2021-05-20,"FFCC ROCA",238986
2021-05-20,"FFCC SAR",120778
2021-05-21,"BSAS_LINEA_203",68620
2021-05-21,"BSAS_LINEA_501G",91310
2021-05-21,"FFCC ROCA",223748
2021-05-21,"FFCC SAR",113274
2021-05-22,"BSAS_LINEA_203",28556
2021-05-22,"BSAS_LINEA_501G",41699
2021-05-22,"FFCC ROCA",70456
2021-05-22,"FFCC SAR",24089
2021-05-23,"BSAS_LINEA_203",19289
2021-05-23,"BSAS_LINEA_501G",23214
2021-05-23,"FFCC ROCA",31124
2021-05-23,"FFCC SAR",6810
2021-05-24,"BSAS_LINEA_203",34887
2021-05-24,"BSAS_LINEA_501G",44527
2021-05-24,"FFCC ROCA",63221
2021-05-24,"FFCC SAR",22266
2021-05-25,"BSAS_LINEA_203",29285
2021-05-25,"BSAS_LINEA_501G",34713
2021-05-25,"FFCC ROCA",49777
2021-05-25,"FFCC SAR",15360
2021-05-26,"BSAS_LINEA_203",52962
2021-05-26,"BSAS_LINEA_501G",74950
2021-05-26,"FFCC ROCA",173399
2021-05-26,"FFCC SAR",93142
2021-05-27,"BSAS_LINEA_203",53738
2021-05-27,"BSAS_LINEA_501G",76381
2021-05-27,"FFCC ROCA",176521
